user_id	trackcount
102460663	1
102460995	1
102465825	1
102468428	1
1024691	1
102470171	8
102470563	1
102470876	1
102477807	6
102478875	1
102483109	1
102483593	90
102483705	14
102487673	4
102488235	1
102489493	18
102493460	2
102494105	1
102494312	1
102501172	1
102501709	1
102502891	1
102503777	8
102505740	1
10250632	2
102509709	5
102512951	1
102517611	1
102518593	4
102524374	3
102524991	6
102526793	2
102531923	45
102540015	1
102546223	1
102549685	1
102549879	1
102550162	1
102550352	1
102553418	1
102554031	1
102554343	2
102555587	2
102558024	1
102558615	1
102561166	5
102561520	19
102561707	1
102561813	1
102563112	1
102563460	1
102570070	1
102574014	1
102579282	2
102580826	3
102582493	1
102582775	1
102584876	1
102588614	1
102588659	1
102589813	1
102592067	2
102595158	1
102595627	1
102604350	1
102608596	1
102611825	2
102611959	1
102614473	2
102615012	1
102616955	2
102618677	3
102621561	4
102623038	41
102625610	3
102625790	1
102629013	2
102629024	3
102629322	2
102632431	2
102632998	1
102633537	1
102640379	1
102645491	1
102648938	1
102649875	1
102650881	5
102653101	11
102654426	16
102657994	1
102659050	10
102660043	1
102662387	4
102662432	1
102665450	1
102666015	4
102668054	1
102669401	2
102669716	1
102670819	1
102673405	1
102673794	3
102675507	5
102676762	2
102677256	1
102686217	2
102693118	1
102699907	7
102701970	1
102705882	1
102706197	9
102712693	3
102717168	1
102719912	1
102720426	1
102727594	1
102727807	1
102728302	1
102730838	6
102733418	2
102735657	1
102735722	1
102736943	3
102738403	1
102739951	6
102741438	5
102744940	1
102745096	1
102746267	16
102750661	1
102754062	270
102756017	6
102756419	1
102756870	2
102758056	12
102759290	17
102764468	16
102766217	5
102766864	39
102770604	1
102772106	27
102772902	1
102777959	1
102778058	2
102781070	1
102794199	2
102799398	3
102799415	1
102799970	1
102803722	50
102803837	1
102803869	1
102807095	1
102817414	1
102822417	4
102824794	2
102827045	1
102828759	1
102833442	1
102834333	1
102843832	1
102849429	2
102853674	8
102859597	1
10286042	18
102861520	1
102865826	1
102866084	1
102866196	77
102868861	5
102868941	1
102871017	6
102871349	4
102874590	2
102877961	1
102879799	1
102880221	1
102883537	1
102884266	1
102884609	2
102884829	1
102886859	6
102888012	1
102895460	1
102898664	1
102899087	1
102899210	2
102901114	1
102903808	1
102905556	4
102907420	1
102908968	1
102911422	3
102911609	1
102914161	1
102918266	1
102923224	2
102924079	4
102925567	1
102934067	1
102934417	1
102936820	6
102939308	2
102939864	1
102945944	1
102945970	6
102948093	1
102949020	1
102952874	3
10295432	1
102956911	2
102959126	1
102960143	1
102960213	1
102961269	2
102966096	1
10296692	1
102969171	2
102969261	13
102977378	12
102979361	1
102979839	1
102983650	32
102985165	1
102989291	3
102989433	1
102994452	7
102995352	1
102995706	3
102997352	1
102999493	1
103001050	8
103001775	1
103011658	3
103015121	3
103015632	1
103017466	1
103019788	17
103023449	1
103026071	1
103028664	6
103032247	3
103032685	1
103035116	1
103044411	1
103044587	1
103046548	1
103048548	9
103049764	1
103051651	1
103051885	6
103052401	1
103053286	161
103057080	3
103059335	1
103060766	1
103061765	1
103061817	2
103065377	2
103065520	1
103071511	1
103077554	1
103078091	2
103082489	1
103083105	2
103084544	3
103086290	9
103088117	3
103089950	1
103098928	1
103098972	1
103107650	10
103113369	1
103115807	3
103116752	1
103117333	1
103118546	3
103120066	1
103120497	2
103123590	1
103124754	1
103126940	2
103130723	3
103131173	1
103132030	2
103134425	1
103136464	15
103138688	10
103140105	1
103141670	28
103142099	6
103142570	32
103145015	3
103145736	1
103151745	2
103153027	3
103153716	1
103154149	1
103156395	5
103158041	1
103158885	1
103160307	4
103163052	1
103163377	3
103164720	1
103165179	1
103165545	1
103166987	1
103168123	1
103175929	2
103176357	8
103178942	2
103179498	2
103180163	1
103180874	4
103183317	1
103184915	1
103186791	1
103189757	1
103190138	1
103190885	5
103192428	1
103192667	1
103195785	1
103196716	1
103200359	1
103205112	1
103208129	3
103210307	3
103212620	1
103212756	1
103215866	1
103217683	32
103218000	1
103225356	1
103229550	1
103230888	1
103231079	1
103233931	1
103235463	1
103240185	1
103240607	1
103240966	2
103246519	1
103247270	1
103247646	1
103250076	3
103255220	3
103260345	1
103263264	4
103263376	1
103263604	4
103266073	2
103268377	1
103272632	1
103274882	2
103275920	2
103278729	2
103283573	2
